Issue type,Count,Percentage
Profile Text,13983,24.34747784297679
Accreditation,5056,8.803607807630026
Lead Volume - Not enough leads,4262,7.4210792080931895
Invoice amount query,2728,4.7500478835472135
PLI,2656,4.6246800508436205
Not Listed on Account,1584,2.758092319479027
WhatsApp No Info,1422,2.4760146958959446
Tier,1202,2.092946318190524
Postcode,1195,2.080757778899897
Owes Debt,1161,2.021556302345423
Directory,1145,1.993696783966847
Quality of Leads,1052,1.831763333391374
Reviews,981,1.708136720586443
Payment Method,953,1.6593825634239348
Checkatrade Email Spam Received,931,1.621075725653393
Category,927,1.6141108460587485
Ceased Trading,831,1.4469537357872926
Vouchers,812,1.4138705577127335
Contact Details,722,1.2571607668332434
Disputing invoice amount,713,1.2414897877452944
Break/Pause,643,1.1196043948390242
Trade App Incident,627,1.0917448764604483
Not appearing in search,597,1.039508279500618
Trade App Query,583,1.015131200919364
Fixed Plan,565,0.9837892427434661
Price Enquiry,560,0.9750831432501611
Trade App Reset,531,0.9245877661889921
Full Time Employment,453,0.7887726140934338
Outstanding Payment Taken,426,0.7417596768295868
Company Name,420,0.7313123574376208
Company Address,376,0.6546986818965367
Ranking,362,0.6303216033152828
Call disconnected,320,0.5571903675715206
Secure Contact,317,0.5519667078755376
Medical,310,0.5397781685849106
Address,274,0.4770942522331146
Directory invoice,248,0.43182253486792843
Contact Added/Removed,243,0.42311643537462346
Cannot contact Account Manager,218,0.3795859379080984
Name,206,0.3586912991241664
Lead Volume - Too many leads,194,0.33779666034023437
Pre RVM - Not Live Yet,190,0.3308317807455904
Guarantee,177,0.30819592206299734
Website Incident,154,0.2681478643937943
Sub Category,136,0.23680590621789627
PAYG,136,0.23680590621789627
Images / Logo,134,0.23332346642057425
Declined,118,0.2054639480419982
Change of Ownership,111,0.1932754087513712
PAYG - Disputing Lead,103,0.1793456495620832
Trading Standards,96,0.1671571102714562
Reporting Spam,87,0.15148613118350715
DOB,81,0.14103881179154115
Applicants Area,64,0.11143807351430411
Wrong amount on invoice,60,0.1044731939196601
External Debt Agency,60,0.1044731939196601
Wrong number,52,0.0905434347303721
Consumer App,49,0.08531977503438909
Decreased Budget,36,0.06268391635179607
Debt at Sign Up,33,0.05746025665581306
Refusal,32,0.055719036757152056
Media call,27,0.047012937263847046
Increased Budget,25,0.04353049746652505
Trade refund query,10,0.01741219898661002
Pro rata query,6,0.010447319391966012
Customer payment error,6,0.010447319391966012
Customer refund query,5,0.00870609949330501
Trade payment error,5,0.00870609949330501
Trade refund request,3,0.005223659695983006
Customer chargeback request/support,2,0.0034824397973220035
Trade chargeback support,1,0.0017412198986610017
Police,1,0.0017412198986610017
